Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,15.0,42.25,0.0,0,42.25,3.49
Dining Room,516.0,2319.75,13.11,0,2332.86,191.32
Drive Thru,356.0,1165.6,13.29,0,1178.89,96.16
No Revenue Center,12.0,10.36,33.03,0,43.39,0.85
Total,899.0,3537.96,59.43,0,3597.39,291.82
