Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1845.0,6639.12,53.15,0.0,6692.27,547.08
Total,1845.0,6639.12,53.15,0.0,6692.27,547.08
