Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,114,3460.28,45.39,3505.67,285.01
Drive Thru,201,2727.04,7.76,2734.8,224.8
Take Out,26,451.8,0.0,451.8,37.27
Total,341,6639.12,53.15,6692.27,547.08
