Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1416.0,5557.68,53.15,0.0,5610.83,458.2
NA Beverage,398.0,880.73,0.0,0.0,880.73,72.29
Liquor,23.0,136.79,0.0,0.0,136.79,11.3
Bottled Beer,3.0,11.97,0.0,0.0,11.97,0.99
Draft Beer,5.0,51.95,0.0,0.0,51.95,4.3
Total,1845.0,6639.12,53.15,0.0,6692.27,547.08
