Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2870.51,178,16.13,174,17.86,178,16.13,12.97
Table Service,4552.53,359,12.68,145,33.98,125,36.42,42.93
Total,7423.04,537,13.82,319,25.19,303,24.50,25.33
