Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,126,4552.53,23.25,4575.78,375.14
Drive Thru,156,2570.82,34.12,2604.94,211.79
Take Out,21,299.69,3.8,303.49,24.7
Total,303,7423.04,61.17,7484.21,611.63
