Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,2189.0,8697.4,53.15,0.0,8750.55,717.27
NA Beverage,701.0,1579.19,0.0,0.0,1579.19,129.74
Liquor,23.0,148.77,0.0,0.0,148.77,12.29
Bottled Beer,9.0,35.91,0.0,0.0,35.91,2.97
Draft Beer,1.0,10.99,0.0,0.0,10.99,0.91
Total,2923.0,10472.26,53.15,0.0,10525.41,863.18
