Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,2923.0,10472.26,53.15,0.0,10525.41,863.18
Total,2923.0,10472.26,53.15,0.0,10525.41,863.18
