Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,4449.57,264,16.85,261,18.45,263,16.92,16.85
Table Service,6022.69,443,13.60,191,34.13,174,34.61,44.57
Total,10472.26,707,14.81,452,25.08,437,23.96,27.89
