Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,61,1713.35,13.66,1727.01,141.2
Drive Thru,100,1286.6,16.44,1303.04,106.18
Take Out,17,444.74,0.0,444.74,36.69
Total,178,3444.69,30.10,3474.79,284.07
