Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1803.24,124,14.54,123,15.87,124,14.54,13.07
Table Service,1641.45,116,14.15,59,30.11,54,30.40,45.91
Total,3444.69,240,14.35,182,20.49,178,19.35,23.03
