Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,125,1393.02,15.99,0.0,1409.01,114.64
Lunch,93,1361.77,8.74,0.0,1370.51,112.08
Dinner,38,666.01,3.5,0.0,669.51,54.87
No Service,67,551.94,0.0,0.0,551.94,45.43
Total,323,3972.74,28.23,0.0,4000.97,327.02
