Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,961.0,3340.14,26.29,0.0,3366.43,275.0
NA Beverage,247.0,632.6,1.94,0.0,634.54,52.02
Total,1208.0,3972.74,28.23,0.0,4000.97,327.02
