Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,57,1231.83,15.99,1247.82,101.45
Uber Eats - Takeout,1,6.98,0.0,6.98,0.57
Drive Thru,204,2102.05,5.29,2107.34,173.03
Take Out,61,631.88,6.95,638.83,51.97
Total,323,3972.74,28.23,4000.97,327.02
