Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2723.36,230,11.84,229,12.87,230,11.84,7.22
Table Service,3515.8,258,13.63,143,26.61,123,28.58,39.94
Total,6239.16,488,12.79,372,18.15,353,17.67,18.62
