Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,125,3515.8,46.92,3562.72,289.57
Drive Thru,202,2371.48,10.33,2381.81,195.44
Take Out,26,351.88,1.73,353.61,28.99
Total,353,6239.16,58.98,6298.14,514.00
