Tax rate,Tax amount,Taxable amount
Tax,324.01,3932.74
TX SPECIAL TAX,0.01,1.99
TX CITY TAX,0.02,1.99
TX STATE TAX,0.12,1.99
Non Taxable,0.0,0.0
