Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2461.16,182,13.52,183,14.56,182,13.52,4.54
Table Service,1473.57,109,13.52,59,27.03,55,26.79,39.49
Total,3934.73,291,13.52,242,17.60,237,16.60,12.65
