Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,59,1496.04,0.0,1496.04,123.3
Drive Thru,150,1998.03,0.0,1998.03,164.53
Take Out,28,440.66,0.0,440.66,36.33
Total,237,3934.73,0.0,3934.73,324.16
