Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,115,3041.2,37.27,3078.47,250.46
Drive Thru,199,2546.76,6.67,2553.43,209.99
Take Out,22,290.77,0.0,290.77,23.93
Total,336,5878.73,43.94,5922.67,484.38
