Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1381.0,5320.96,185.98,0.0,5506.94,438.84
NA Beverage,355.0,875.19,1.69,0.0,876.88,71.87
Liquor,13.0,96.42,0.0,0.0,96.42,7.95
Bottled Beer,3.0,11.97,0.0,0.0,11.97,0.99
Draft Beer,2.0,21.98,0.0,0.0,21.98,1.82
Total,1754.0,6326.52,187.67,0.0,6514.19,521.47
