Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1749.0,6312.61,187.17,0.0,6499.78,520.33
No Revenue Center,5.0,13.91,0.5,0.0,14.41,1.14
Total,1754.0,6326.52,187.67,0.0,6514.19,521.47
