Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,95,2670.42,86.91,2757.33,219.99
Drive Thru,226,2991.09,28.36,3019.45,246.63
Take Out,39,665.01,72.4,737.41,54.85
Total,360,6326.52,187.67,6514.19,521.47
