Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,89,4241.1,62.08,4303.18,349.83
Drive Thru,112,1853.51,30.83,1884.34,153.04
Take Out,21,377.99,0.0,377.99,31.21
Total,222,6472.60,92.91,6565.51,534.08
