Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,1.0,7.29,0.0,0.0,7.29,0.6
Dining Room,1099.0,4665.57,15.68,0.0,4681.25,384.88
Drive Thru,547.0,1789.77,30.83,0.0,1820.6,147.78
No Revenue Center,13.0,9.97,46.4,0.0,56.37,0.82
Total,1660.0,6472.60,92.91,0.0,6565.51,534.08
