Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1228.0,5318.64,85.22,0.0,5403.86,438.83
NA Beverage,428.0,1125.3,7.69,0.0,1132.99,92.88
Liquor,3.0,23.97,0.0,0.0,23.97,1.98
Draft Beer,1.0,4.69,0.0,0.0,4.69,0.39
Total,1660.0,6472.60,92.91,0.0,6565.51,534.08
