Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,786.0,2993.94,14.41,0.0,3008.35,246.96
Drive Thru,500.0,1410.82,16.55,0.0,1427.37,116.36
No Revenue Center,5.0,20.46,0.0,0.0,20.46,1.7
Total,1291.0,4425.22,30.96,0.0,4456.18,365.02
