Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,140,4451.56,85.3,4536.86,366.86
Drive Thru,198,3009.1,14.71,3023.81,248.04
Take Out,39,617.4,3.93,621.33,50.88
Total,377,8078.06,103.94,8182.00,665.78
