Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,109,1991.76,0,0.0,151.7,0.0,0.0,0.00,1991.76,0.0
Credit/debit,,279,6752.08,617.78,17.6,514.08,0.0,0.0,617.78,7387.46,10.2
Credit/debit,AMEX,13,246.44,25.6,0.0,18.73,0.0,0.0,25.60,272.04,11.2
Credit/debit,DISCOVER,4,125.95,13.03,0.0,9.58,0.0,0.0,13.03,138.98,11.2
Credit/debit,MASTERCARD,93,2402.93,209.86,0.0,182.94,0.0,0.0,209.86,2612.79,9.5
Credit/debit,VISA,169,3976.76,369.29,17.6,302.83,0.0,0.0,369.29,4363.65,10.5
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Total,,388,8743.84,617.78,17.6,665.78,0.0,0.0,617.78,9379.22,7.9
