Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2647.91,150,17.65,149,19.24,150,17.65,10.78
Table Service,4582.75,324,14.14,124,40.01,116,39.51,50.34
Total,7230.66,474,15.25,273,28.67,266,27.18,28.03
