Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1297.0,5866.57,38.22,0.0,5904.79,484.15
NA Beverage,484.0,1316.13,1.55,0.0,1317.68,108.73
Liquor,4.0,47.96,0.0,0.0,47.96,3.95
Total,1785.0,7230.66,39.77,0.0,7270.43,596.83
