Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,118,4604.6,32.34,4636.94,379.99
Drive Thru,117,2017.78,7.43,2025.21,166.61
Take Out,31,608.28,0.0,608.28,50.23
Total,266,7230.66,39.77,7270.43,596.83
