Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,702.0,2400.15,12.94,0.0,2413.09,197.64
NA Beverage,176.0,426.42,0.0,0.0,426.42,35.05
Total,878.0,2826.57,12.94,0.0,2839.51,232.69
