Tax rate,Tax amount,Taxable amount
Tax,226.09,2746.57
TX SPECIAL TAX,0.6,80.0
TX CITY TAX,1.0,80.0
TX STATE TAX,5.0,80.0
Non Taxable,0.0,0.0
