Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,62,1897.98,50.84,1948.82,156.61
Drive Thru,106,1451.08,21.06,1472.14,119.78
Take Out,8,130.88,2.25,133.13,10.84
Total,176,3479.94,74.15,3554.09,287.23
