Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,495.0,2252.7,28.72,0.0,2281.42,185.91
Drive Thru,315.0,1210.68,21.06,0.0,1231.74,99.95
No Revenue Center,9.0,16.56,24.37,0.0,40.93,1.37
Total,819.0,3479.94,74.15,0.0,3554.09,287.23
