Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,670.0,2136.12,12.86,0.0,2148.98,175.9
Drive Thru,308.0,868.36,1.1,0.0,869.46,71.47
Total,978.0,3004.48,13.96,0.0,3018.44,247.37
