Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,105,3844.97,75.6,3920.57,317.17
Drive Thru,146,2471.08,24.86,2495.94,203.97
Take Out,32,703.44,29.01,732.45,58.06
Total,283,7019.49,129.47,7148.96,579.20
