Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,121,3234.93,91.53,3326.46,266.4
Drive Thru,207,2741.57,18.41,2759.98,226.02
Take Out,36,699.29,9.69,708.98,57.7
Total,364,6675.79,119.63,6795.42,550.12
