Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1846.0,6675.79,119.63,0.0,6795.42,550.12
Total,1846.0,6675.79,119.63,0.0,6795.42,550.12
