Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1429.0,5569.51,119.63,0.0,5689.14,459.24
NA Beverage,396.0,961.96,0.0,0.0,961.96,78.96
Liquor,18.0,118.35,0.0,0.0,118.35,9.77
Bottled Beer,1.0,3.99,0.0,0.0,3.99,0.33
Draft Beer,2.0,21.98,0.0,0.0,21.98,1.82
Total,1846.0,6675.79,119.63,0.0,6795.42,550.12
