Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1460.0,5272.66,59.42,0.0,5332.08,434.48
Total,1460.0,5272.66,59.42,0.0,5332.08,434.48
