Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,101,2657.55,28.32,2685.87,218.95
Drive Thru,183,2299.73,28.57,2328.3,189.57
Take Out,24,315.38,2.53,317.91,25.96
Total,308,5272.66,59.42,5332.08,434.48
