Tax rate,Tax amount,Taxable amount
Tax,319.85,3880.92
TX SPECIAL TAX,0.04,5.74
TX CITY TAX,0.08,6.74
TX STATE TAX,0.42,6.74
Non Taxable,0.0,0.0
