Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2285.86,158,14.47,158,15.66,158,14.47,6.43
Table Service,1601.8,122,13.13,48,36.12,45,35.60,47.39
Total,3887.66,280,13.88,206,20.43,203,19.15,15.51
