Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,714.0,2392.15,0.69,0.0,2392.84,197.22
Drive Thru,473.0,1495.51,0.0,0.0,1495.51,123.17
Total,1187.0,3887.66,0.69,0.0,3888.35,320.39
