Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,779.0,2581.85,2.27,0.0,2584.12,212.79
Drive Thru,352.0,1091.94,1.2,0.0,1093.14,89.95
Total,1131.0,3673.79,3.47,0.0,3677.26,302.74
