Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,891.0,3112.55,3.47,0.0,3116.02,256.51
NA Beverage,240.0,561.24,0.0,0.0,561.24,46.23
Total,1131.0,3673.79,3.47,0.0,3677.26,302.74
