Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,834.0,4261.81,64.58,0.0,4326.39,351.48
Drive Thru,442.0,1607.63,9.7,0.0,1617.33,132.65
No Revenue Center,19.0,23.72,39.21,0.0,62.93,1.96
Total,1295.0,5893.16,113.49,0.0,6006.65,486.09
