Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2331.31,159,14.66,160,15.77,159,14.66,12.04
Table Service,3561.85,640,5.57,107,36.03,100,35.62,46.14
Total,5893.16,799,7.38,267,23.89,259,22.75,25.20
