Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,107,3710.47,103.37,3813.84,306.01
Drive Thru,136,1859.62,10.12,1869.74,153.44
Take Out,16,323.07,0.0,323.07,26.64
Total,259,5893.16,113.49,6006.65,486.09
