Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,12.0,44.13,1.76,0.0,45.89,3.64
Dining Room,548.0,2565.12,51.01,0.0,2616.13,211.61
Drive Thru,214.0,735.18,4.94,0.0,740.12,60.69
No Revenue Center,27.0,76.25,15.48,0.0,91.73,6.3
Total,801.0,3420.68,73.19,0.0,3493.87,282.24
