Hour of day,Net sales,Total orders,Total guests
18,120.0,7,9
6,36.75,4,4
9,344.67,22,30
12,478.1,19,30
19,208.24,8,14
13,305.63,16,23
15,138.04,7,11
11,520.12,24,35
20,16.68,2,2
7,93.62,9,10
14,197.81,9,16
17,161.21,6,10
10,262.41,15,19
8,377.18,19,29
16,160.22,5,5
