Discount,Count,Orders,Amount
Open % Item,14,5,19.77
Military Discount,2,1,3.08
Employee Discount - Item,3,2,8.3
Police Discount,3,1,11.8
Open $ Item,1,1,1.99
Total,23,10,44.94
