Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1352.0,4922.33,64.9,0.0,4987.23,405.69
Total,1352.0,4922.33,64.9,0.0,4987.23,405.69
