Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,93,2662.99,53.52,2716.51,219.44
Drive Thru,168,1904.58,3.9,1908.48,157.01
Take Out,23,354.76,7.48,362.24,29.24
Total,284,4922.33,64.90,4987.23,405.69
