Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2259.34,192,11.77,195,12.54,192,11.77,9.02
Table Service,2662.99,185,14.39,105,27.45,92,28.95,38.35
Total,4922.33,377,13.06,300,17.76,284,17.33,18.52
