Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2664.7,156,17.08,154,18.73,156,17.08,12.02
Table Service,4029.72,279,14.44,105,41.54,94,42.87,49.34
Total,6694.42,435,15.39,259,27.98,250,26.78,26.06
