Hour of day,Net sales,Total orders,Total guests
6,9.26,2,2
7,46.35,5,5
13,492.13,21,31
19,225.13,6,12
18,386.27,12,30
14,146.43,9,10
8,271.87,23,27
12,298.09,16,25
9,446.64,26,31
11,574.17,26,41
15,132.6,9,10
16,82.99,3,4
10,344.17,20,28
20,83.75,4,5
17,165.44,7,9
