Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,65,1907.92,28.06,1935.98,157.45
Drive Thru,105,1424.35,29.34,1453.69,117.46
Take Out,19,373.02,2.54,375.56,30.75
Total,189,3705.29,59.94,3765.23,305.66
