Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,511.0,2457.17,13.28,0.0,2470.45,202.73
Drive Thru,367.0,1219.49,21.9,0.0,1241.39,100.57
No Revenue Center,11.0,28.63,24.76,0.0,53.39,2.36
Total,889.0,3705.29,59.94,0.0,3765.23,305.66
