Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,70,2225.75,62.98,2288.73,183.57
Drive Thru,126,1709.45,24.72,1734.17,141.02
Take Out,23,307.71,7.7,315.41,25.36
Total,219,4242.91,95.40,4338.31,349.95
