Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,50,924.09,8.46,932.55,76.26
Drive Thru,166,1772.67,2.7,1775.37,145.99
Take Out,44,426.23,0.0,426.23,35.08
Total,260,3122.99,11.16,3134.15,257.33
