Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,595.0,1954.61,11.16,0.0,1965.77,161.14
Drive Thru,369.0,1168.38,0.0,0.0,1168.38,96.19
Total,964.0,3122.99,11.16,0.0,3134.15,257.33
